step,g_front_min,g_rear_min,g_required,g_lead,g_follow,g_available,feasible
0,4.5,4.5,14.0,605.0,25.0,360.0,True
0,4.5,4.5,14.0,605.0,25.0,360.0,True
100,112.8,22.0,139.9,519.9,85.6,384.5,True
100,112.8,21.5,139.3,519.9,86.3,383.8,True
200,126.8,34.6,166.4,429.1,45.0,515.8,True
200,128.4,34.4,167.9,429.0,48.3,512.7,True
300,53.8,34.5,93.2,301.5,95.0,593.5,True
300,69.0,34.5,108.5,295.0,101.6,593.3,True
400,34.5,34.5,74.0,343.1,45.0,601.9,True
400,34.5,34.5,74.0,309.1,48.3,632.6,True
500,34.5,34.5,74.0,295.7,95.0,599.3,True
500,34.5,34.9,74.4,263.3,101.0,625.7,True
600,34.5,34.5,74.0,294.9,95.0,600.1,True
600,34.5,35.4,74.9,272.6,98.5,618.9,True
700,34.5,34.5,74.0,295.0,95.0,600.0,True
700,34.5,35.0,74.5,282.0,95.7,612.3,True
800,34.5,34.5,74.0,345.0,45.0,600.0,True
800,34.5,34.5,74.0,341.5,44.8,603.7,True
900,34.5,34.5,74.0,295.0,95.0,600.0,True
900,34.5,34.5,74.0,295.6,94.5,599.9,True
1000,34.5,34.5,74.0,345.0,45.0,600.0,True
1000,34.5,34.5,74.0,347.3,44.8,598.0,True
1100,34.5,34.5,74.0,295.0,95.0,600.0,True
1100,34.5,34.5,74.0,297.0,94.6,598.3,True
1200,34.5,34.5,74.0,345.0,45.0,600.0,True
1200,34.5,34.5,74.0,346.3,44.9,598.8,True
1300,34.5,34.5,74.0,295.0,95.0,600.0,True
1300,34.5,34.5,74.0,295.7,95.0,599.3,True
1400,34.5,34.5,74.0,345.0,45.0,600.0,True
1400,34.5,34.5,74.0,345.1,45.0,599.8,True
1500,34.5,34.5,74.0,295.0,95.0,600.0,True
1500,34.5,34.5,74.0,294.9,95.0,600.0,True
1600,34.5,34.5,74.0,345.0,45.0,600.0,True
1600,34.5,34.5,74.0,344.9,45.0,600.1,True
1700,34.5,34.5,74.0,295.0,95.0,600.0,True
1700,34.5,34.5,74.0,294.9,95.0,600.1,True
1800,34.5,34.5,74.0,345.0,45.0,600.0,True
1800,34.5,34.5,74.0,344.9,45.0,600.1,True
1900,34.5,34.5,74.0,295.0,95.0,600.0,True
1900,34.5,34.5,74.0,295.0,95.0,600.0,True
2000,34.5,34.5,74.0,345.0,45.0,600.0,True
2000,34.5,34.5,74.0,345.0,45.0,600.0,True
2100,34.5,34.5,74.0,295.0,95.0,600.0,True
2100,34.5,34.5,74.0,295.0,95.0,600.0,True
2200,34.5,34.5,74.0,345.0,45.0,600.0,True
2200,34.5,34.5,74.0,345.0,45.0,600.0,True
2300,34.5,34.5,74.0,295.0,95.0,600.0,True
2300,34.5,34.5,74.0,295.0,95.0,600.0,True
2400,34.5,34.5,74.0,345.0,45.0,600.0,True
2400,34.5,34.5,74.0,345.0,45.0,600.0,True
0,4.5,4.5,14.0,605.0,25.0,360.0,True
0,4.5,4.5,14.0,605.0,25.0,360.0,True
100,115.9,22.0,142.9,519.9,85.6,384.5,True
100,115.9,21.5,142.3,519.9,86.3,383.8,True
200,374.7,53.7,433.4,383.6,62.0,544.4,True
200,377.6,53.5,436.1,383.5,63.6,543.0,True
300,276.9,64.5,346.4,136.1,139.1,714.8,False
300,316.3,64.0,385.3,130.0,147.8,712.2,False
400,93.7,64.5,163.2,12.6,139.5,838.0,False
400,57.1,82.0,144.1,2.2,138.7,849.1,False
500,64.4,63.5,132.9,0.2,134.3,855.5,False
500,63.6,57.3,125.9,0.9,139.9,849.2,False
600,64.5,64.5,134.0,0.3,135.1,854.6,False
600,64.5,64.5,134.0,0.9,146.3,842.8,False
700,64.5,64.5,134.0,0.2,135.1,854.7,False
700,63.5,62.6,131.1,1.7,139.4,848.9,False
